id,data,cidade_origem,uf_origem,base_origem,nf,valor_da_nota,volumes,peso_real,peso_cubado,cidade_destino,uf_destino,base,setor,frete_peso,seguro,total_frete,vendedor,cliente,data_inclusao
137602,2024-01-01,"São Paulo",SP,SAO,1020,2723.01,39,61.35,0.0,"NOVO HAMBURGO",RS,POA,QHV,548.304664,8.16903,556.473694,"Agustinho Ormeneze",Hiroshima,
137603,2024-01-01,"São Paulo",SP,SAO,1020,900.09,16,22.69,0.0,SANTIAGO,RS,RGS,RIA,166.387414,2.70027,169.087684,"Agustinho Ormeneze",Hiroshima,
137604,2024-01-01,"São Paulo",SP,SAO,1020,166.0,4,6.02,0.0,LINS,SP,SPO,DVT,84.3258,0.498,84.8238,"Agustinho Ormeneze",Hiroshima,
137605,2024-01-01,"São Paulo",SP,SAO,1020,625.12,10,10.18,0.0,MARILIA,SP,SPO,DVT,85.7778,1.87536,87.65316,"Agustinho Ormeneze",Hiroshima,
137606,2024-01-01,"São Paulo",SP,SAO,1020,435.94,7,11.44,0.0,"SAO PAULO",SP,SAO,CEN,70.970552,1.30782,72.278372,"Agustinho Ormeneze",Hiroshima,
137607,2024-01-01,"São Paulo",SP,SAO,1020,485.12,8,9.77,0.0,AMERICANA,SP,SPO,DOC,84.624,1.45536,86.07936,"Agustinho Ormeneze",Hiroshima,
137608,2024-01-01,"São Paulo",SP,SAO,1020,1352.5,15,23.38,0.0,"CAXIAS DO SUL",RS,POA,CXJ,156.508798,4.0575,160.566298,"Agustinho Ormeneze",Hiroshima,
137609,2024-01-01,"São Paulo",SP,SAO,1020,1939.81,39,41.52,0.0,CACADOR,SC,CTB,CAC,206.07508,5.81943,211.89451,"Agustinho Ormeneze",Hiroshima,
137610,2024-01-01,"São Paulo",SP,SAO,1020,906.4,9,19.91,0.0,"SAO JOAO DA BOA VISTA",SP,SPO,DVT,115.1056,2.7192,117.8248,"Agustinho Ormeneze",Hiroshima,
137611,2024-01-01,"São Paulo",SP,SAO,1020,926.56,13,15.27,0.0,SOROCABA,SP,SPO,DOC,96.2343,2.77968,99.01398,"Agustinho Ormeneze",Hiroshima,
137612,2024-01-01,"São Paulo",SP,SAO,1020,1055.72,17,15.25,0.0,INDAIATUBA,SP,SPO,DOC,102.2721,3.16716,105.43926,"Agustinho Ormeneze",Hiroshima,
137613,2024-01-01,"São Paulo",SP,SAO,1020,1100.72,13,20.08,0.0,JUNDIAI,SP,SPO,TLG,117.3123,3.30216,120.61446,"Agustinho Ormeneze",Hiroshima,
137614,2024-01-01,"São Paulo",SP,SAO,1020,1256.12,17,20.82,0.0,ITARARE,SP,SPO,DVT,121.9984,3.76836,125.76676,"Agustinho Ormeneze",Hiroshima,
137615,2024-01-01,"São Paulo",SP,SAO,1020,1217.4,15,21.81,0.0,VIRADOURO,SP,SPO,DVT,117.7435,3.6522,121.3957,"Agustinho Ormeneze",Hiroshima,
137616,2024-01-01,"São Paulo",SP,SAO,1020,1374.84,18,23.61,0.0,"SAO CARLOS",SP,SPO,DVT,126.1894,4.12452,130.31392,"Agustinho Ormeneze",Hiroshima,
137617,2024-01-01,"São Paulo",SP,SAO,1020,1429.48,28,26.3,0.0,PIRACICABA,SP,SPO,DOC,132.6726,4.28844,136.96104,"Agustinho Ormeneze",Hiroshima,
137618,2024-01-01,"São Paulo",SP,SAO,1020,1548.2,20,19.9,0.0,OURINHOS,SP,SPO,DVT,102.9466,4.6446,107.5912,"Agustinho Ormeneze",Hiroshima,
137619,2024-01-01,"São Paulo",SP,SAO,1020,1684.12,16,28.8,0.0,AVARE,SP,SPO,DVT,139.468,5.05236,144.52036,"Agustinho Ormeneze",Hiroshima,
137620,2024-01-01,"São Paulo",SP,SAO,1020,1669.8,25,31.55,0.0,"RIBEIRAO PRETO",SP,SPO,DVT,132.7488,5.0094,137.7582,"Agustinho Ormeneze",Hiroshima,
137621,2024-01-01,"São Paulo",SP,SAO,1020,1729.72,23,32.27,0.0,"BRAGANCA PAULISTA",SP,SPO,DOC,153.4622,5.18916,158.65136,"Agustinho Ormeneze",Hiroshima,
137622,2024-01-01,"São Paulo",SP,SAO,1020,1961.08,24,35.9,0.0,INDAIATUBA,SP,SPO,DOC,152.1249,5.88324,158.00814,"Agustinho Ormeneze",Hiroshima,
137623,2024-01-01,"São Paulo",SP,SAO,1020,2020.48,25,30.55,0.0,"RIBEIRAO PRETO",SP,SPO,DVT,139.8368,6.06144,145.89824,"Agustinho Ormeneze",Hiroshima,
137624,2024-01-01,"São Paulo",SP,SAO,1020,3054.4,37,66.43,0.0,JACAREI,SP,SPO,DOC,222.6774,9.1632,231.8406,"Agustinho Ormeneze",Hiroshima,
137625,2024-01-01,"São Paulo",SP,SAO,1020,1374.57,29,34.22,0.0,MONTENEGRO,RS,POA,CAN,249.99529,4.12371,254.119,"Agustinho Ormeneze",Hiroshima,
137626,2024-01-01,"São Paulo",SP,SAO,1020,2971.49,50,76.6,0.0,"SANTA CRUZ DO SUL",RS,RGS,LJD,575.839534,8.91447,584.754004,"Agustinho Ormeneze",Hiroshima,
137627,2024-01-01,"São Paulo",SP,SAO,1020,1759.08,27,37.55,0.0,VOTUPORANGA,SP,SPO,DVT,247.9384,5.27724,253.21564,"Agustinho Ormeneze",Hiroshima,
137628,2024-01-01,"São Paulo",SP,SAO,1020,4048.76,54,66.18,0.0,TAUBATE,SP,SPO,DOC,237.2665,12.14628,249.41278,"Agustinho Ormeneze",Hiroshima,
137629,2024-01-01,"São Paulo",SP,SAO,1020,1249.52,14,21.63,0.0,CAMPINAS,SP,SPO,DOC,118.3533,3.74856,122.10186,"Agustinho Ormeneze",Hiroshima,
137630,2024-01-01,"São Paulo",SP,SAO,1020,1864.52,23,31.93,0.0,BAURU,SP,SPO,DVT,165.3372,5.59356,170.93076,"Agustinho Ormeneze",Hiroshima,
137631,2024-01-01,"São Paulo",SP,SAO,1020,1614.4,23,24.63,0.0,AMPARO,SP,SPO,DOC,128.1397,4.8432,132.9829,"Agustinho Ormeneze",Hiroshima,
137632,2024-01-01,"São Paulo",SP,SAO,1020,1614.4,23,24.63,0.0,AMPARO,SP,SPO,DOC,128.1397,4.8432,132.9829,"Agustinho Ormeneze",Hiroshima,
